task_id,optimizer_id,seed,level_3,n_trials,n_function_calls,trial_info__config,trial_info__instance,trial_info__seed,trial_info__budget,trial_info__normalized_budget,trial_info__name,trial_info__checkpoint,trial_value__cost,trial_value__time,trial_value__virtual_time,trial_value__status,trial_value__starttime,trial_value__endtime,benchmark_id,task_type,subset_id,task.optimization_resources.n_trials,trial_value__cost_raw,trial_value__cost_inc,time,experiment_id
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,0,1,1,"[0.8999999761581421, 0.004556754138320684, 8.0, 0.004556754138320684]",None,None,None,None,None,None,3.4831069313856486e-05,0.039780378341674805,823.5616618489107,1,1789304904.8512216,1789304904.891002,HPOBench,blackbox,dev,50,3.4831069313856486e-05,3.4831069313856486e-05,823.5616618489107,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,1,2,2,"[0.30000001192092896, 0.09921256452798843, 20.0, 1024.0]",None,None,None,None,None,None,0.00046441425751770905,0.03763294219970703,1019.2536140744949,1,1789304904.9008396,1789304904.9384725,HPOBench,blackbox,dev,50,0.00046441425751770905,3.4831069313856486e-05,1842.8648939291581,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,2,3,3,"[0.30000001192092896, 0.0009765625, 1.0, 0.09921256452798843]",None,None,None,None,None,None,4.6441425751786444e-05,0.03734707832336426,531.8482692367342,1,1789304904.9443195,1789304904.9816666,HPOBench,blackbox,dev,50,4.6441425751786444e-05,3.4831069313856486e-05,2374.756643085326,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,3,4,4,"[0.699999988079071, 0.4629373550415039, 32.0, 10.079368591308594]",None,None,None,None,None,None,2.3220712875904325e-05,0.03792738914489746,854.1909904542817,1,1789304904.98737,1789304905.0252974,HPOBench,blackbox,dev,50,2.3220712875904325e-05,2.3220712875904325e-05,3228.99068406718,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,4,5,5,"[0.6000000238418579, 0.004556754138320684, 8.0, 2.1601195335388184]",None,None,None,None,None,None,0.0,0.038170814514160156,739.6783106327057,1,1789304905.0333757,1789304905.0715466,HPOBench,blackbox,dev,50,0.0,0.0,3968.7150004257464,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,5,6,6,"[0.5, 0.4629373550415039, 3.0, 0.09921256452798843]",None,None,None,None,None,None,3.483106931383429e-05,0.037882328033447266,644.368400225528,1,1789304905.0798535,1789304905.1177359,HPOBench,blackbox,dev,50,3.483106931383429e-05,0.0,4613.129878445921,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,6,7,7,"[0.10000000149011612, 0.02126234397292137, 32.0, 219.45445251464844]",None,None,None,None,None,None,0.0002089864158829613,0.03874063491821289,810.2364218800543,1,1789304905.123086,1789304905.1618266,HPOBench,blackbox,dev,50,0.0002089864158829613,0.0,5423.409532766924,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,7,8,8,"[0.8999999761581421, 0.09921256452798843, 2.0, 0.0009765625]",None,None,None,None,None,None,1.1610356437952163e-05,0.037747859954833984,802.3584657938904,1,1789304905.1672401,1789304905.204988,HPOBench,blackbox,dev,50,1.1610356437952163e-05,0.0,6225.812152727989,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,8,9,9,"[1.0, 0.0009765625, 50.0, 0.02126234397292137]",None,None,None,None,None,None,4.6441425751786444e-05,0.037854671478271484,851.5207975036409,1,1789304905.2106187,1789304905.2484734,HPOBench,blackbox,dev,50,4.6441425751786444e-05,0.0,7077.376328823168,0
blackbox/20/dev/hpobench/blackbox/tabular/ml/xgboost/146212,CARPSDynamicRF_DAEHRF_AdditiveEI,6,9,10,10,"[0.10000000149011612, 1.0, 2.0, 2.1601195335388184]",None,None,None,None,None,None,1.1610356437952163e-05,0.03745555877685547,568.2223676474518,1,1789304905.2538972,1789304905.2913527,HPOBench,blackbox,dev,50,1.1610356437952163e-05,0.0,7645.641974926353,0
